InsulationThickness,HeatFlux,Tskin
1,2,36.066
1.1,2,36.073
1.2,2,36.072
1.3,2,36.069
1.4,2,36.055
1.5,2,36.053
1.6,2,36.051
1.7,2,36.047
1.8,2,36.064
1.9,2,36.062
2,2,36.061
2.1,2,36.059
2.2,2,36.055
2.3,2,36.049
2.4,2,36.055
2.5,2,36.049
2.6,2,36.055
2.7,2,36.037
2.8,2,36.044
2.9,2,36.047
3,2,36.042
3.1,2,36.041
3.2,2,36.049
3.3,2,36.049
3.4,2,36.041
3.5,2,36.043
3.6,2,36.045
3.7,2,36.046
3.8,2,36.036
3.9,2,36.036
4,2,36.04
4.1,2,36.034
4.2,2,36.035
4.3,2,36.04
4.4,2,36.039
4.5,2,36.033
4.6,2,36.029
4.7,2,36.024
4.8,2,36.028
4.9,2,36.029
5,2,36.03
